zipcode,countyfp,COUNTYLINE,state
00501,36103,HOLTSVILLE,NY
00601,72113,ADJUNTAS,PR
00601,72001,ADJUNTAS,PR
00602,72003,AGUADA,PR
00602,72117,AGUADA,PR
00602,72005,AGUADA,PR
00603,72099,AGUADILLA,PR
00603,72005,AGUADILLA,PR
00604,72005,AGUADILLA,PR
00605,72005,AGUADILLA,PR
00606,72093,MARICAO,PR
00610,72011,ANASCO,PR
00611,72141,ANGELES,PR
00612,72017,ARECIBO,PR
00612,72065,ARECIBO,PR
00612,72141,ARECIBO,PR
00612,72013,ARECIBO,PR
00612,72054,ARECIBO,PR
00613,72013,ARECIBO,PR
00614,72013,ARECIBO,PR
00616,72013,BAJADERO,PR
00617,72017,BARCELONETA,PR
00617,72054,BARCELONETA,PR
00617,72091,BARCELONETA,PR
00622,72023,BOQUERON,PR
00623,72097,CABO ROJO,PR
00623,72023,CABO ROJO,PR
00624,72059,PENUELAS,PR
00624,72113,PENUELAS,PR
00624,72111,PENUELAS,PR
00627,72027,CAMUY,PR
00631,72081,CASTANER,PR
00637,72121,SABANA GRANDE,PR
00638,72039,CIALES,PR
00638,72107,CIALES,PR
00641,72113,UTUADO,PR
00641,72141,UTUADO,PR
00646,72051,DORADO,PR
00646,72137,DORADO,PR
00646,72143,DORADO,PR
00646,72135,DORADO,PR
00647,72121,ENSENADA,PR
00647,72055,ENSENADA,PR
00650,72013,FLORIDA,PR
00650,72054,FLORIDA,PR
00650,72017,FLORIDA,PR
00650,72091,FLORIDA,PR
00652,72013,GARROCHALES,PR
00653,72055,GUANICA,PR
00653,72153,GUANICA,PR
00656,72059,GUAYANILLA,PR
00659,72065,HATILLO,PR
00659,72013,HATILLO,PR
00660,72067,HORMIGUEROS,PR
00660,72097,HORMIGUEROS,PR
00662,72005,ISABELA,PR
00662,72115,ISABELA,PR
00662,72071,ISABELA,PR
00662,72099,ISABELA,PR
00664,72073,JAYUYA,PR
00667,72121,LAJAS,PR
00667,72079,LAJAS,PR
00669,72081,LARES,PR
00670,72083,LAS MARIAS,PR
00674,72145,MANATI,PR
00674,72091,MANATI,PR
00674,72101,MANATI,PR
00676,72099,MOCA,PR
00676,72131,MOCA,PR
00677,72117,RINCON,PR
00678,72115,QUEBRADILLAS,PR
00680,72011,MAYAGUEZ,PR
00680,72097,MAYAGUEZ,PR
00680,72023,MAYAGUEZ,PR
00680,72067,MAYAGUEZ,PR
00681,72097,MAYAGUEZ,PR
00682,72097,MAYAGUEZ,PR
00683,72097,SAN GERMAN,PR
00683,72121,SAN GERMAN,PR
00683,72067,SAN GERMAN,PR
00683,72079,SAN GERMAN,PR
00683,72125,SAN GERMAN,PR
00683,72023,SAN GERMAN,PR
00685,72131,SAN SEBASTIAN,PR
00687,72145,MOROVIS,PR
00687,72143,MOROVIS,PR
00687,72101,MOROVIS,PR
00687,72091,MOROVIS,PR
00688,72013,SABANA HOYOS,PR
00690,72005,SAN ANTONIO,PR
00692,72145,VEGA ALTA,PR
